Id,District_Name,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
1033,NIZAMABAD,Urad,2015-16,Rabi,1276,Hectare,1005,Tonnes,0.787617555
1034,RANGAREDDI,Urad,2013-14,Kharif,5268,Hectare,5384,Tonnes,1.022019742
1035,RANGAREDDI,Urad,2014-15,Kharif,3306,Hectare,3161,Tonnes,0.956140351
1036,RANGAREDDI,Urad,2015-16,Kharif,3402,Hectare,1868,Tonnes,0.549088771
1037,RANGAREDDI,Urad,2015-16,Rabi,5,Hectare,4,Tonnes,0.8
1038,WARANGAL,Urad,2013-14,Kharif,246,Hectare,202,Tonnes,0.821138211
1039,WARANGAL,Urad,2013-14,Rabi,918,Hectare,900,Tonnes,0.980392157
1040,WARANGAL,Urad,2014-15,Kharif,25,Hectare,16,Tonnes,0.64
1041,WARANGAL,Urad,2014-15,Rabi,1494,Hectare,607,Tonnes,0.406291834
1042,WARANGAL,Urad,2015-16,Kharif,29,Hectare,13,Tonnes,0.448275862
1043,WARANGAL,Urad,2015-16,Rabi,981,Hectare,773,Tonnes,0.787971458
1044,ADILABAD,Wheat,2013-14,Rabi,3170,Hectare,586,Tonnes,0.184858044
1045,ADILABAD,Wheat,2014-15,Rabi,2997,Hectare,3563,Tonnes,1.188855522
1046,ADILABAD,Wheat,2015-16,Rabi,2728,Hectare,13329,Tonnes,4.885997067
1047,MAHBUBNAGAR,Wheat,2013-14,Rabi,13,Hectare,8,Tonnes,0.615384615
1048,MAHBUBNAGAR,Wheat,2014-15,Rabi,1,Hectare,1,Tonnes,1
1049,MEDAK,Wheat,2013-14,Rabi,2118,Hectare,1711,Tonnes,0.807837583
1050,MEDAK,Wheat,2014-15,Rabi,1246,Hectare,933,Tonnes,0.748796148
1051,MEDAK,Wheat,2015-16,Rabi,1207,Hectare,906,Tonnes,0.750621375
1052,NIZAMABAD,Wheat,2013-14,Rabi,1170,Hectare,1706,Tonnes,1.458119658
1053,NIZAMABAD,Wheat,2014-15,Rabi,1196,Hectare,1971,Tonnes,1.647993311
1054,NIZAMABAD,Wheat,2015-16,Rabi,814,Hectare,1890,Tonnes,2.321867322
1055,RANGAREDDI,Wheat,2013-14,Rabi,568,Hectare,355,Tonnes,0.625
1056,RANGAREDDI,Wheat,2014-15,Rabi,388,Hectare,461,Tonnes,1.18814433
1057,RANGAREDDI,Wheat,2015-16,Rabi,203,Hectare,777,Tonnes,3.827586207
